{'timestamp': Timestamp('2024-05-29 19:45:58.728000'), 'Close': 67403.58, 'ma1': 44361.12333333333, 'ma2': 43298.47230769231, 'positions': 1.0, 'signals': 'Buy', 'oscillator': 1062.6510256410184}
{'timestamp': Timestamp('2024-05-29 19:46:01.347000'), 'Close': 67403.59, 'ma1': 46452.3475, 'ma2': 44258.595, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 2193.7525000000023}
{'timestamp': Timestamp('2024-05-29 19:46:03.491000'), 'Close': 67403.58, 'ma1': 48541.32083333333, 'ma2': 45219.00961538462, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 3322.3112179487143}
{'timestamp': Timestamp('2024-05-29 19:46:05.701000'), 'Close': 67403.59, 'ma1': 50630.62833333333, 'ma2': 46181.45153846154, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4449.17679487179}
{'timestamp': Timestamp('2024-05-29 19:46:07.896000'), 'Close': 67407.42, 'ma1': 52723.13, 'ma2': 47141.47923076924, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 5581.650769230757}
{'timestamp': Timestamp('2024-05-29 19:46:10.149000'), 'Close': 67407.42, 'ma1': 54818.32333333333, 'ma2': 48103.57615384615, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6714.747179487174}
{'timestamp': Timestamp('2024-05-29 19:46:12.284000'), 'Close': 67413.2, 'ma1': 56922.15666666667, 'ma2': 49063.69923076923, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 7858.457435897442}
{'timestamp': Timestamp('2024-05-29 19:46:14.346000'), 'Close': 67418.03, 'ma1': 59018.192500000005, 'ma2': 50024.76576923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 8993.426730769235}
{'timestamp': Timestamp('2024-05-29 19:46:16.540000'), 'Close': 67424.21, 'ma1': 61114.293333333335, 'ma2': 50987.42769230769, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 10126.865641025644}
{'timestamp': Timestamp('2024-05-29 19:46:18.548000'), 'Close': 67430.81, 'ma1': 63215.469166666655, 'ma2': 51949.84346153846, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 11265.625705128194}
{'timestamp': Timestamp('2024-05-29 19:46:21.159000'), 'Close': 67433.99, 'ma1': 65320.45166666667, 'ma2': 52912.346923076926, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 12408.104743589742}
{'timestamp': Timestamp('2024-05-29 19:46:23.270000'), 'Close': 67441.9, 'ma1': 67415.94333333333, 'ma2': 53880.73538461538, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 13535.20794871795}
{'timestamp': Timestamp('2024-05-29 19:46:25.374000'), 'Close': 67442.48, 'ma1': 67419.185, 'ma2': 54847.21538461538, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 12571.969615384616}
{'timestamp': Timestamp('2024-05-29 19:46:27.376000'), 'Close': 67442.47, 'ma1': 67422.425, 'ma2': 55813.245, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 11609.18}
{'timestamp': Timestamp('2024-05-29 19:46:29.757000'), 'Close': 67442.48, 'ma1': 67425.66666666667, 'ma2': 56778.794230769236, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 10646.872435897436}
{'timestamp': Timestamp('2024-05-29 19:46:32.374000'), 'Close': 67442.48, 'ma1': 67428.9075, 'ma2': 57745.470384615386, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 9683.437115384615}
{'timestamp': Timestamp('2024-05-29 19:46:34.675000'), 'Close': 67442.48, 'ma1': 67431.82916666666, 'ma2': 58711.108076923076, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 8720.721089743587}
{'timestamp': Timestamp('2024-05-29 19:46:37.375000'), 'Close': 67442.48, 'ma1': 67434.75083333334, 'ma2': 59676.899615384624, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 7757.851217948715}
{'timestamp': Timestamp('2024-05-29 19:46:40.375000'), 'Close': 67442.49, 'ma1': 67437.19166666667, 'ma2': 60644.018461538464, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6793.1732051282015}
{'timestamp': Timestamp('2024-05-29 19:46:42.450000'), 'Close': 67430.02, 'ma1': 67438.19083333333, 'ma2': 61611.90000000001, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 5826.290833333318}
{'timestamp': Timestamp('2024-05-29 19:46:44.796000'), 'Close': 67419.29, 'ma1': 67437.78083333334, 'ma2': 62583.13423076923, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4854.646602564106}
{'timestamp': Timestamp('2024-05-29 19:46:47.375000'), 'Close': 67419.28, 'ma1': 67436.82, 'ma2': 63550.58346153846, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 3886.2365384615478}
{'timestamp': Timestamp('2024-05-29 19:46:50.081000'), 'Close': 67419.29, 'ma1': 67435.59499999999, 'ma2': 64517.82538461538, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 2917.7696153846045}
{'timestamp': Timestamp('2024-05-29 19:46:53.376000'), 'Close': 67419.28, 'ma1': 67433.71, 'ma2': 65487.155384615384, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 1946.5546153846226}
{'timestamp': Timestamp('2024-05-29 19:46:55.389000'), 'Close': 67414.0, 'ma1': 67431.33666666667, 'ma2': 66457.91692307692, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 973.4197435897513}
{'timestamp': Timestamp('2024-05-29 19:46:57.468000'), 'Close': 67411.86, 'ma1': 67428.78583333333, 'ma2': 67423.91153846154, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.874294871784514}
{'timestamp': Timestamp('2024-05-29 19:46:59.498000'), 'Close': 67411.87, 'ma1': 67426.235, 'ma2': 67424.23038461538, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 2.004615384619683}
{'timestamp': Timestamp('2024-05-29 19:47:01.714000'), 'Close': 67411.87, 'ma1': 67423.68416666666, 'ma2': 67424.54884615385, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -0.864679487189278}
